Annotee-Identifier	Human-Readable-Description
OG0011825	phd and ring finger domain containing protein
OG0009302	btb poz domain containing protein
OG0003625	brisc and brca a complex member
OG0000974	segment polarity protein dishevelled dvl
OG0013282	kelch protein
OG0008926	large ribosomal subunit protein ul
OG0013314	eola protein
OG0004666	olfactory receptor
OG0009618	s adenosylmethionine dependent nucleotide dehydratase
OG0009861	cell growth regulator with ef hand domain protein
OG0010293	dolichyl diphosphooligosaccharide protein glycosyltransferase subunit
OG0014471	eukaryotic translation initiation factor
OG0011655	coiled coil domain containing protein
OG0002993	serine threonine protein phosphatase regulatory subunit 3
OG0007224	methyl cpg binding domain protein
OG0013525	spindlin
OG0014931	dedicator of cytokinesis protein
OG0015410	nuclear body protein sp
OG0015500	unknown sequence family
OG0004171	transient receptor potential cation channel subfamily v member
OG0002710	transmembrane protease serine
OG0009020	testis specific gene protein
OG0003438	cell growth regulator with ring finger domain protein
OG0012146	retinoic acid receptor rxr alpha
OG0010526	a kinase anchor protein
OG0000923	latent transforming growth factor beta binding protein
OG0011513	adhesion g protein coupled receptor
OG0012389	formimidoyltransferase cyclodeaminase
OG0009956	low density lipoprotein receptor protein
OG0000514	integrin beta protein
OG0013527	zinc finger protein
OG0006987	6 phosphofructo kinase fructose bisphosphatase
OG0001832	protein af
OG0013676	maleylacetoacetate isomerase
OG0002145	olfactory receptor 1d2
OG0014260	glycolipid transfer protein
OG0011299	regulator of g protein signaling
OG0000129	small ribosomal subunit protein es
OG0011950	opalin
OG0012221	short chain specific acyl coa dehydrogenase mitochondrial
OG0002843	protein frg
OG0004406	myosin light chain kinase smooth muscle
OG0014656	cyclic gmp amp synthase
OG0005886	brca a complex subunit rap
OG0000112	atp binding cassette sub family a member
OG0007534	keratin type i cuticular ha
OG0013878	serine threonine protein kinase 3 4
OG0001916	protein fam131b
OG0004449	collagen alpha ix chain
OG0001307	somatostatin receptor type
OG0003457	nf kappa b inhibitor interacting ras protein
OG0000756	nadph cytochrome p450 reductase
OG0010679	mediator of rna polymerase ii transcription subunit
OG0010429	zinc finger mym type protein
OG0001907	protein o mannosyl transferase tmtc
OG0000156	small proline rich protein
OG0003205	protein sprouty
OG0012612	b and t lymphocyte attenuator
OG0003042	diablo mitochondrial protein
OG0004742	gpi ethanolamine phosphate transferase
OG0015291	wap four disulfide core domain protein
OG0007867	ribosomal protein s6 kinase alpha
OG0001721	echinoderm microtubule associated protein
OG0000208	olfactory receptor
OG0004144	interleukin
OG0000359	proline rich protein
OG0000929	olfactory receptor 5ap2
OG0012913	cgmp specific 3 5 cyclic phosphodiesterase
OG0007618	sap binding protein
OG0003743	nuclease exog mitochondrial
OG0011613	coiled coil domain containing protein
OG0005292	transmembrane and coiled coil domain containing protein
OG0003327	transmembrane protein
OG0011764	nkg d type ii integral membrane protein
OG0005411	adapter protein xk
OG0015348	isocitrate dehydrogenase [nad] subunit 1 mitochondrial
OG0009957	tripartite motif containing protein
OG0004261	cortexin protein
OG0007304	breast cancer metastasis suppressor protein
OG0005311	interleukin receptor subunit alpha
OG0008569	haloacid dehalogenase hydrolase domain containing protein
OG0004121	wap four disulfide core domain protein
OG0014282	protein cimap1c
OG0006367	ubiquitin conjugation factor e4
OG0008260	cmp n beta galactoside alpha sialyltransferase
OG0005788	unhealthy ribosome biogenesis protein
OG0004505	polymerase delta interacting protein
OG0004884	protein entrep
OG0014564	large ribosomal subunit protein el
OG0010523	peptidoglycan recognition protein
OG0012543	dentin matrix acidic phosphoprotein
OG0013576	haus augmin complex subunit
OG0007294	d aminoacyl trna deacylase
OG0014780	short chain specific acyl coa dehydrogenase mitochondrial
OG0013619	telomeric repeat binding factor
OG0003720	cysteine and histidine rich domain containing protein
OG0007014	acyl coa binding protein
OG0011639	phosphoinositide kinase interacting protein
OG0013234	retrotransposon gag protein
OG0009072	hypoxia inducible lipid droplet associated protein
OG0004513	leucine rich repeat containing protein
OG0011403	integrator complex subunit
OG0006253	rna demethylase alkbh
OG0005702	neuronal vesicle trafficking associated protein
OG0003237	cdgsh iron sulfur domain containing protein
OG0007560	2 oxoglutarate and iron dependent oxygenase domain containing protein
OG0005607	leucine rich repeat containing protein
OG0015359	selection and upkeep of intraepithelial t cells protein
OG0007371	maguk p55 subfamily member
OG0006475	partitioning defective protein
OG0003881	large ribosomal subunit protein ul29m
OG0000056	c3 and alpha macroglobulin protein
OG0008764	e3 sumo protein ligase
OG0014571	large ribosomal subunit protein ul
OG0004399	sodium channel regulatory subunit beta
OG0006958	tumor necrosis factor ligand superfamily member
OG0006875	protein arginine n methyltransferase 8
OG0003052	cytochrome p450 1a1
OG0008767	dna primase large subunit
OG0000471	beta defensin
OG0007528	rho gdp dissociation inhibitor
OG0003922	dna apurinic or apyrimidinic site endonuclease
OG0006515	erythropoietin
OG0003116	immortalization up regulated protein
OG0008526	dna repair protein complementing xp a cells
OG0005252	ferm domain containing protein
OG0000779	teashirt 1
OG0013463	caveolin
OG0000525	olfactory receptor
OG0006708	otoancorin
OG0015456	class i histocompatibility antigen b*0101 alpha chain
OG0006112	apolipoprotein a v
OG0007789	carbonic anhydrase protein
OG0010390	g2 m phase specific e3 ubiquitin protein ligase
OG0002717	interferon induced protein
OG0002754	meteorin protein
OG0006935	alpha n beta sialyltransferase
OG0009363	mitochondrial carrier family protein
OG0005907	pwwp domain containing protein
OG0014439	olfactory receptor
OG0003445	rrna processing protein
OG0002371	cysteine trna ligase
OG0004703	doublesex and mab transcription factor 3
OG0009655	polycomb group protein
OG0014742	histone acetyltransferase kat
OG0012220	small kinetochore associated protein
OG0009157	protein itprid
OG0007788	u3 small nucleolar rna associated protein
OG0003726	anaphase promoting complex subunit
OG0001556	opioid binding protein cell adhesion molecule
OG0007287	nedd binding protein
OG0011708	bh interacting domain death agonist
OG0012638	leucine rich repeat containing protein
OG0012924	inositol polyphosphate 1 phosphatase
OG0002453	multiple epidermal growth factor domains protein
OG0007576	neuropeptide b
OG0004284	heat shock transcription factor
OG0013094	metastasis suppressor kiss
OG0005223	enkurin
OG0001454	cytochrome c oxidase subunit 12
OG0014949	ubiquitin conjugating enzyme e2 17
OG0011724	protein arginine n methyltransferase 1
OG0005289	steroid receptor rna activator
OG0000656	profilin
OG0000979	laminin subunit gamma
OG0007172	ectopic p granules protein
OG0000328	atp binding cassette sub family c member
OG0001184	eukaryotic translation initiation factor 4e binding protein
OG0009453	e3 ubiquitin protein ligase makorin
OG0008994	calponin and protein
OG0009848	protein lin c
OG0005653	lrp chaperone mesd
OG0003048	interferon beta
OG0010163	alpha mannosyl glycoprotein 4 beta n acetylglucosaminyltransferase protein
OG0001096	prostaglandin e2 receptor ep subtype
OG0011796	electron transfer flavoprotein regulatory factor
OG0013175	tlr adapter interacting with slc15a4 on the lysosome
OG0004723	myelin basic protein
OG0013943	neuronal vesicle trafficking associated protein
OG0005073	e3 ubiquitin protein ligase cbl
OG0015079	secretory calcium binding phosphoprotein proline glutamine rich protein
OG0000196	olfactory receptor
OG0014465	olfactory receptor
OG0012112	dgat 2 independent enzyme synthesizing storage lipids
OG0006097	ubiquitin conjugation factor e4
OG0003594	centrosomal protein of kda
OG0009609	proline rich protein
OG0004785	trna specific adenosine deaminase
OG0002030	inactive rho gtpase activating protein
OG0001316	guanine nucleotide binding protein g subunit gamma
OG0000089	olfactory receptor
OG0008908	transmembrane protein
OG0003704	peptidyl prolyl cis trans isomerase
OG0006432	golgi apparatus protein
OG0003092	caprin
OG0000482	cyclin dependent kinases regulatory subunit
OG0014331	taurine up regulated protein
OG0008539	myb sant dna binding domain containing protein
OG0003366	5 demethoxyubiquinone hydroxylase mitochondrial
OG0015264	iq domain containing protein
OG0010872	sciellin
OG0001320	membrane protein vip
OG0011905	potassium channel subfamily k member
OG0008895	e3 ubiquitin protein ligase
OG0007752	pre mrna splicing factor cwc
OG0008735	gtp binding protein
OG0011431	piwi protein
OG0010799	protein saal
OG0002659	pdz and lim domain protein
OG0003280	phosphorylated adapter rna export protein
OG0006028	dna replication factor cdt
OG0005229	elongin bc and polycomb repressive complex 2 associated protein
OG0008518	exosome complex component rrp
OG0012917	melanoregulin
OG0013520	trafficking protein particle complex subunit
OG0011004	cilium assembly protein
OG0007362	spectrin beta chain non erythrocytic
OG0009234	threonylcarbamoyl amp synthase
OG0013339	a kinase anchor protein
OG0013829	protein fam180b
OG0014538	unknown sequence family
OG0015240	transmembrane emp domain containing protein
OG0012354	semaphorin 3a
OG0001699	nuclear pore membrane glycoprotein
OG0011348	spermatogenesis and oogenesis specific basic helix loop containing protein
OG0008046	lim homeobox protein lhx
OG0008542	post gpi attachment to proteins factor
OG0004010	endothelin
OG0007011	torsin 1a interacting protein
OG0008524	trna uridine 34 hydroxylase
OG0004250	somatostatin receptor type
OG0003977	small ribosomal subunit protein es
OG0001931	ankyrin repeat and socs box protein
OG0008043	roquin
OG0007651	centrosomal protein of kda
OG0004066	signaling lymphocytic activation molecule
OG0001978	homeobox protein cut
OG0011437	testis development protein
OG0011922	protein depp
OG0003231	superkiller complex protein
OG0001607	gag pol polyprotein
OG0005689	dihydropteridine reductase
OG0007058	containing monooxygenase
OG0014187	atp dependent zinc metalloprotease ftsh 10 mitochondrial
OG0013064	carboxyl terminal pdz ligand of neuronal nitric oxide synthase protein
OG0010325	interleukin receptor e
OG0009056	bifunctional arginine demethylase and lysyl hydroxylase jmjd
OG0002000	transcription factor sox
OG0003466	zinc finger hit domain containing protein
OG0009109	homeobox protein dlx
OG0003648	d 2 dopamine receptor
OG0010152	voltage gated monoatomic cation channel tmem
OG0003383	heterogeneous nuclear ribonucleoprotein l
OG0013112	lysophosphatidic acid receptor
OG0002214	a disintegrin and metalloproteinase with thrombospondin motifs
OG0002091	phosphatidylcholine sterol acyltransferase
OG0009794	t cell surface antigen cd
OG0004091	lymphocyte antigen complex locus protein g5c
OG0005760	methionine synthase
OG0013072	rho gtpase activating protein
OG0006520	alpha hemoglobin stabilizing protein
OG0007298	e2f associated phosphoprotein
OG0004417	mucin
OG0005868	protein wings apart
OG0010989	acyl coa dehydrogenase family member
OG0008075	swi snf complex subunit
OG0006122	pih domain containing protein
OG0000746	receptor guanylate cyclase
OG0005622	monoacylglycerol lipase abhd
OG0002691	cklf marvel transmembrane domain containing protein
OG0004697	cbp p300 interacting transactivator
OG0003916	mediator of rna polymerase ii transcription subunit
OG0015487	large ribosomal subunit protein ul
OG0000055	golgin subfamily a member protein
OG0005258	translation initiation factor eif assembly protein
OG0010706	ester hydrolase c11orf54
OG0000323	major urinary protein
OG0013639	dynein axonemal assembly factor
OG0004376	hydroxycarboxylic acid receptor
OG0004962	trna splicing endonuclease
OG0010259	cd antigen
OG0000466	toll receptor
OG0007654	platelet endothelial cell adhesion molecule
OG0007865	sperm associated antigen
OG0004225	b1 bradykinin receptor
OG0003095	olfactory receptor 4e2
OG0004345	zinc finger and btb domain containing protein
OG0001395	olfactory receptor
OG0001416	metabotropic glutamate receptor
OG0012360	mannose phosphate isomerase
OG0003365	mitochondrial processing peptidase subunit
OG0015332	olfactory receptor protein
OG0000533	doublesex and mab transcription factor 3
OG0012062	carboxypeptidase e
OG0002918	transcription factor sox
OG0010822	membrane spanning 4 domains subfamily a member
OG0014782	pancreatic progenitor cell differentiation and proliferation factor protein
OG0006798	transcription factor e4f1
OG0014067	general transcription and factor iih subunit
OG0008532	polypeptide n acetylgalactosaminyltransferase
OG0007941	neural proliferation differentiation and control protein
OG0001229	mitogen activated protein kinase
OG0002425	adenosylhomocysteinase
OG0007779	leucine rich repeat containing protein
OG0013813	charged multivesicular body protein
OG0005725	peroxisome proliferator activated receptor gamma coactivator 1
OG0000993	protein n lysine methyltransferase mettl21a
OG0004653	endothelial protein c receptor
OG0001389	olfactory receptor
OG0013766	small lysine rich protein
OG0007713	reticulophagy regulator
OG0012651	solute carrier family member
OG0003441	polypeptide n acetylgalactosaminyltransferase
OG0006157	neuferricin
OG0002215	small ribosomal subunit protein us
OG0000795	zinc finger swim domain containing protein
OG0013809	protein sym
OG0011864	autophagy protein
OG0015053	importin
OG0007550	apical junction
OG0013272	tsc domain family protein
OG0007289	syntaxin binding protein
OG0005811	transcription factor atoh
OG0000758	homeobox protein hox
OG0014912	amyloid beta a4 precursor protein binding family b member 1 interacting
OG0005103	2 dehydrogenase subunit alpha 1
OG0000016	interferon alpha 13
OG0010866	krueppel factor
OG0011600	squamous cell carcinoma antigen recognized by t cells
OG0001869	double strand break repair protein rad
OG0000191	c motif chemokine
OG0001302	5 6 dihydroxyindole carboxylic acid oxidase
OG0008812	midasin
OG0007147	pre b cell leukemia transcription factor interacting protein
OG0008258	ranbp and grip domain containing protein 5 6
OG0003537	transcription initiation factor tfiid subunit
OG0012684	iroquois class homeodomain protein irx
OG0003180	krab zinc finger protein
OG0004753	thioredoxin protein
OG0009981	polyribonucleotide 5 clp
OG0011184	sun domain containing protein
OG0007748	voltage dependent l type calcium channel subunit beta
OG0013132	fmr neighbor protein
OG0009050	neurogenic differentiation factor 6
OG0001312	ras protein rab 5a
OG0004783	zinc finger and btb domain containing protein 8a 1
OG0015212	sperm protamine p1
OG0010446	chondroitin sulfate proteoglycan
OG0007566	trna dihydrouridine 16 17 synthase [nad p + ]
OG0003889	proteasome assembly chaperone
OG0008168	protein shisa
OG0013487	long wave sensitive opsin
OG0010816	kinesin protein
OG0000873	plastin
OG0002721	sushi von willebrand factor type a egf and pentraxin domain containing protein
OG0007497	btb poz domain containing protein 6
OG0015246	glutathione s transferase omega
OG0010695	centrosomal protein
OG0004909	nucleoredoxin protein
OG0010392	d glycerate 2 kinase
OG0004873	proprotein convertase subtilisin kexin type
OG0001613	autism susceptibility gene protein
OG0010374	sarcolemmal membrane associated protein
OG0004166	apolipoprotein c iii
OG0000063	keratin associated protein
OG0014650	testis anion transporter
OG0011980	hypoxia inducible factor 1 alpha inhibitor
OG0005125	selenoprotein w
OG0000409	cyclin dependent kinase 2 associated protein
OG0001427	oxidation resistance protein
OG0007544	homeobox protein dlx
OG0005578	protein fam151a
OG0012216	1 phosphatidylinositol 4 5 bisphosphate phosphodiesterase beta
OG0000968	mitochondrial carrier family protein
OG0007718	caveolae associated protein
OG0010792	kda ras protein
OG0012476	cycloartenol synthase
OG0005562	unknown sequence family
OG0005380	unknown sequence family
OG0000177	alpha antitrypsin protein cm
OG0011705	proline rich protein
OG0001977	ubiquitin protein
OG0002738	serine threonine protein phosphatase 2a regulatory subunit b
OG0013776	cytosolic purine 5 nucleotidase
OG0008347	nfu iron sulfur cluster scaffold mitochondrial
OG0007361	wd repeat containing protein
OG0000613	fructose bisphosphate aldolase
OG0002642	protein fam53c
OG0006245	e3 ubiquitin protein ligase trim
OG0010519	triose phosphate translocator chloroplastic
OG0003560	phosphoribosylaminoimidazole succinocarboxamide synthase
OG0011986	dna polymerase lambda
OG0000868	voltage dependent l type calcium channel subunit alpha
OG0009181	cortactin binding protein
OG0008725	5 hydroxymethyl dump n hydrolase
OG0001421	dapper 1
OG0006078	out at first protein
OG0009362	lamina associated polypeptide 2 isoforms beta
OG0012204	cell death regulator aven
OG0000143	protein beta alpha
OG0012616	gtp binding protein
OG0010970	protein phosphatase 2c domain containing
OG0002702	arf gap with dual ph domain containing protein
OG0011505	dna polymerase epsilon catalytic subunit a
OG0013319	sterol alpha carboxylate 3 dehydrogenase decarboxylating
OG0014109	somatostatin receptor type
OG0000930	olfactory receptor protein
OG0012550	atp dependent dna helicase hel
OG0009703	protein arginine methyltransferase ndufaf mitochondrial
OG0004708	lens fiber membrane intrinsic protein
OG0006586	zinc finger cw type pwwp domain protein
OG0007104	poly [adp ribose] polymerase 2
OG0004343	type iodothyronine deiodinase
OG0003696	multivesicular body subunit
OG0001924	receptor type tyrosine protein phosphatase
OG0014508	olfactory receptor
OG0014027	c x chemokine receptor type
OG0011654	reticulon receptor
OG0002965	homeobox protein tgif2lx
OG0009420	renal cancer differentiation gene protein
OG0005992	complement c1q tumor necrosis factor protein
OG0012857	na + h + exchange regulatory cofactor nhe rf
OG0006271	f bar domain only protein
OG0013006	potassium voltage gated channel subfamily e member
OG0001971	unconventional myosin
OG0000568	leucine rich repeat and immunoglobulin domain containing nogo receptor interacting protein 1
OG0011876	transcription factor sp
OG0005519	lipid transferase cidec
OG0009721	prominin
OG0003986	submandibular gland secretory glx rich protein
OG0013524	ethylmalonyl coa decarboxylase
OG0004686	e3 ubiquitin protein ligase
OG0012218	unknown sequence family
OG0006810	meiosis specific with ob domain containing protein
OG0010022	5 serine threonine protein kinase
OG0015284	apolipoprotein f
OG0006082	e3 ubiquitin protein ligase rnf
OG0010478	nuclear receptor 2c2 associated protein
OG0005056	apoptosis stimulating of p53 protein
OG0005300	e3 ubiquitin protein ligase
OG0003900	shugoshin
OG0013465	nuclear factor nf kappa b subunit
OG0009321	poly [adp ribose] polymerase 2
OG0010990	ubiquitin modifier activating enzyme
OG0010402	rna binding protein
OG0011272	transcription initiation factor tfiid subunit
OG0007176	cugbp elav family member 1
OG0005922	fatty acid hydroxylase domain containing protein
OG0000020	placental prolactin protein
OG0008482	at rich interactive domain containing protein
OG0007871	serine threonine protein kinase nek
OG0011169	heterogeneous nuclear ribonucleoprotein c
OG0012275	ap complex subunit
OG0004028	rho guanine nucleotide exchange factor
OG0014219	potassium voltage gated channel subfamily e member
OG0000639	cugbp elav family member 1
OG0011920	e3 ubiquitin protein ligase marchf
OG0009295	target of egr protein
OG0014809	myosin light chain kinase smooth muscle
OG0008331	betagal beta n acetylglucosaminyltransferase
OG0008491	stomatin protein 2 mitochondrial
OG0005950	molybdopterin synthase catalytic subunit
OG0010646	deoxyhypusine hydroxylase
OG0009545	telo interacting protein
OG0000541	zinc finger and protein
OG0009446	c type lectin domain family member a
OG0006995	serta domain containing protein
OG0008638	g patch domain and ankyrin repeat containing protein
OG0007842	26s proteasome non atpase regulatory subunit
OG0008849	adenylate kinase
OG0004921	decorin
OG0001170	testis specific serine threonine protein kinase
OG0010754	phosphatidylinositol 3 4 5 trisphosphate phosphatase
OG0012095	synaptonemal complex central element protein
OG0004571	caveolin
OG0000505	high mobility group protein
OG0006518	retina and homeobox protein
OG0006192	spermatid maturation protein
OG0012954	calcium responsive transcription factor
OG0002723	syntaxin
OG0013481	riia domain containing protein
OG0009867	mitochondrial import inner membrane translocase subunit tim
OG0010648	transducin enhancer protein 3
OG0000212	neutral cholesterol ester hydrolase
OG0012093	proline rich acidic protein
OG0004460	hydroxysteroid dehydrogenase protein
OG0008249	wash complex subunit
OG0011110	alpha adrenergic receptor
OG0015256	dehydrogenase reductase sdr family member 2
OG0004459	guanylin
OG0003000	elongin a
OG0011723	rad hus interacting nuclear orphan protein
OG0002049	secretagogin
OG0002496	presequence protease 1 mitochondrial
OG0004164	p2y purinoceptor
OG0012076	clarin
OG0002093	c chemokine receptor type
OG0001780	myelin gene regulatory factor
OG0014428	udp n acetylglucosamine transferase subunit alg
OG0015012	olfactory receptor protein
OG0003214	psme interacting protein
OG0010836	spry domain containing protein
OG0013470	beta crystallin 1
OG0014722	intercellular adhesion molecule
OG0010258	nuclear factor interleukin regulated protein
OG0005296	f bar and double sh domains protein
OG0011157	zinc finger protein plag
OG0009492	gtpase imap family member
OG0012397	splicing factor 3b subunit
OG0012163	peroxisomal 2 4 dienoyl coa reductase [ 3e enoyl producing]
OG0004153	cytochrome p450
OG0012676	centrosomal protein of kda
OG0005637	protein regulator of cytokinesis
OG0009211	transmembrane protein
OG0007946	rab protein
OG0001364	galectin
OG0005186	unconventional prefoldin rpb interactor
OG0004105	n acetyllactosaminide alpha galactosyltransferase
OG0012530	tetraspanin
OG0012775	dna repair scaffolding protein
OG0008444	receptor expression enhancing protein 3
OG0003442	diphosphoinositol polyphosphate phosphohydrolase 3
OG0002289	transcription factor
OG0005841	chaperone protein dnaj
OG0010850	btb poz domain containing protein kctd
OG0008604	triggering receptor expressed on myeloid cells
OG0004020	low affinity immunoglobulin gamma fc region receptor iii a
OG0011974	pf 03932 family protein cutc
OG0005436	pre mrna splicing factor syf
OG0007924	arrestin domain containing protein
OG0006694	general transcription factor 3c polypeptide
OG0003634	all trans retinol 13 14 reductase
OG0011331	cytoskeleton associated protein
OG0011219	cysteine rich secretory protein lccl domain containing
OG0001437	zinc finger and scan domain containing protein
OG0008771	collagen alpha ix chain
OG0005082	zinc finger protein
OG0007131	semaphorin
OG0007404	protein lin
OG0004160	aprataxin protein
OG0009723	anaphase promoting complex subunit
OG0008461	kelch protein
OG0007400	ubiquinone biosynthesis monooxygenase coq mitochondrial
OG0009636	wd repeat containing protein
OG0002510	prame family member
OG0006150	dcn protein
OG0011255	cleavage stimulation factor subunit
OG0009767	mannosyl oligosaccharide glucosidase
OG0014033	protein s100 a9
OG0007584	solute carrier family member
OG0003674	voltage dependent l type calcium channel subunit beta
OG0000816	protein hook
OG0006108	ring finger protein
OG0003176	platelet activating factor acetylhydrolase ib subunit alpha
OG0000921	olfactory receptor
OG0009107	ferm and pdz domain containing protein
OG0002113	olfactory receptor 51e2
OG0008304	dna mismatch repair protein
OG0004877	5 methylthioadenosine s adenosylhomocysteine deaminase
OG0006851	choline ethanolaminephosphotransferase
OG0001388	nad dependent protein deacylase sirtuin mitochondrial
OG0009333	nucleosome assembly protein 1 2
OG0004425	unknown sequence family
OG0015322	olfactory receptor
OG0004939	galanin peptide
OG0007527	myeloid associated differentiation marker protein
OG0011579	lim and senescent cell antigen containing domain protein
OG0014811	regulator of hemoglobinization and erythroid cell expansion protein
OG0007470	cyclin t1 1
OG0007565	coiled coil domain containing protein
OG0000119	leukocyte immunoglobulin receptor subfamily b member
OG0001585	enoyl coa hydratase protein 2 mitochondrial
OG0008830	popeye domain containing protein
OG0013742	adropin
OG0007089	flap endonuclease
OG0005261	regulator of nonsense transcripts
OG0001574	receptor corepressor
OG0007832	gas protein
OG0013261	g protein coupled receptor associated sorting
OG0015174	c x motif chemokine
OG0014392	laminin subunit alpha
OG0014394	unknown sequence family
OG0011483	peroxynitrite isomerase thap
OG0013033	membrane associated transporter protein
OG0006191	sperm egg fusion protein tmem
OG0002878	polyamine transporting atpase 13a3
OG0009216	zinc finger mynd domain containing protein
OG0000341	polypyrimidine tract binding protein
OG0001428	fructose bisphosphatase
OG0009129	sh domain binding protein 4
OG0005213	natriuretic peptides b
OG0005037	transmembrane protein
OG0013448	spermatogenesis associated protein
OG0009959	methylthioribulose phosphate dehydratase
OG0001976	n acylneuraminate phosphatase
OG0011744	c x chemokine receptor type
OG0002973	sam and domain containing protein
OG0014182	casein kinase ii subunit alpha
OG0002903	transcription factor cp protein
OG0014805	zinc finger protein
OG0006874	small rna 2 o methyltransferase
OG0003831	ventral anterior homeobox
OG0012813	dysbindin protein
OG0014210	melanoma associated antigen
OG0012622	palmitoyltransferase zdhhc
OG0007685	coiled coil domain containing protein
OG0012121	gamma glutamyl hydrolase
OG0000800	yth domain containing family protein
OG0000462	olfactory receptor 1e1
OG0011280	neurotensin receptor type
OG0013904	zinc transporter zip
OG0009466	transmembrane protein
OG0003748	phospholipid scramblase member
OG0011434	lysine specific demethylase 3a
OG0013512	retinoic acid early protein 1
OG0002013	type angiotensin ii receptor
OG0005548	macrophage immunometabolism regulator
OG0001426	heat shock transcription factor
OG0007985	polyisoprenoid diphosphate phosphate phosphohydrolase plpp
OG0007670	protein tanc
OG0003906	nadh oxidoreductase subunit
OG0001696	ephrin
OG0006700	aquaporin tip
OG0011027	dna repair protein rad
OG0010300	iq motif and sec domain containing protein
OG0000172	elongin b
OG0014945	unknown sequence family
OG0011373	sacsin
OG0005736	transmembrane protein
OG0011165	bpi fold containing family a member
OG0009923	n acyl phosphatidylethanolamine hydrolyzing phospholipase d
OG0011989	protein o glcnacase
OG0014406	unknown sequence family
OG0003806	multiple inositol polyphosphate phosphatase
OG0012199	lysyl oxidase
OG0008436	polycystin protein
OG0015075	protein s100 a6
OG0002553	galectin
OG0008270	circadian locomoter output cycles protein kaput
OG0004130	signal recognition particle subunit srp
OG0011832	sentrin specific protease
OG0006259	mediator of rna polymerase ii transcription subunit
OG0003171	glucagon peptide receptor
OG0014729	olfactory receptor
OG0013825	trna dihydrouridine synthase b
OG0005039	ribitol 5 phosphate transferase fkrp
OG0006729	transmembrane channel protein 2
OG0007524	dna repair protein swi
OG0007457	atp dependent rna helicase mak
OG0014876	semenogelin
OG0003210	g2 mitotic specific cyclin
OG0011645	immunoglobulin lambda variable
OG0010671	protein fam174c
OG0015495	dnaj subfamily b member 6
OG0015441	olfactory receptor
OG0003066	signal recognition particle kda protein
OG0009525	ankyrin
OG0002926	ig lambda chain c region
OG0002814	protein wnt 5b
OG0009348	protein btg
OG0005498	transmembrane protein
OG0007805	septin
OG0002898	diphthamide biosynthesis protein
OG0014678	gtpase imap family member
OG0007359	synaptotagmin
OG0013459	metalloproteinase inhibitor
OG0002887	eukaryotic translation initiation factor gamma
OG0008943	transmembrane protein
OG0004540	beta defensin
OG0007504	isthmin
OG0008275	eukaryotic translation initiation factor 5b
OG0009351	death domain containing protein cradd
OG0000102	ras gtp binding protein rho
OG0006707	ubiquitin carboxyl terminal hydrolase
OG0002958	signal transducer and activator of transcription 1
OG0007492	inverted formin
OG0009366	protein kinase scy
OG0003292	lipopolysaccharide induced tumor necrosis factor alpha
OG0004051	appetite regulating hormone
OG0011378	intraflagellar transport protein
OG0011848	protein fam186a
OG0002279	protein kinase c type
OG0001786	glutamate receptor interacting protein
OG0004090	trans dihydrobenzene diol dehydrogenase
OG0002512	olfactory receptor 5ar1
OG0014430	melanoma associated antigen
OG0005993	threonine trna ligase 1
OG0011329	otospiralin
OG0015438	unknown sequence family
OG0014348	single pass membrane and coiled coil domain containing protein
OG0005593	gamma tubulin complex component
OG0014243	small cysteine and glycine repeat containing protein
OG0002223	n acetylgalactosaminyltransferase
OG0008295	calmodulin lysine n methyltransferase
OG0011093	molecular chaperone mkks
OG0014454	unknown sequence family
OG0011517	bri binding protein
OG0001717	mitotic spindle checkpoint protein
OG0004335	homeobox protein aristaless
OG0009370	anoctamin protein
OG0002022	adenosine deaminase protein
OG0006234	cmt1a duplicated region transcript protein
OG0006580	ribonuclease p protein subunit p20
OG0010567	protein hide
OG0002648	cyclin g1
OG0002412	trafficking kinesin binding protein
OG0011001	solute carrier family member g2
OG0012630	rho gtpase activating protein
OG0011620	gas protein
OG0013548	actin associated protein fam107a
OG0004324	glycophorin a
OG0008273	negative regulator of p body association
OG0008896	ankyrin repeat domain containing protein
OG0010926	1 acylglycerol phosphate o acyltransferase abhd
OG0005232	zinc finger protein
OG0005205	urocortin
OG0001288	olfactory receptor 5ap2
OG0014191	t box transcription factor tbx
OG0002580	olfactory receptor 4e2
OG0012130	protein phosphatase regulatory subunit
OG0005860	dpy domain containing protein
OG0015069	retinal guanylyl cyclase
OG0008538	caveolae associated protein
OG0000227	large ribosomal subunit protein ul
OG0008833	signal transducer cd
OG0004492	succinate dehydrogenase iron sulfur subunit
OG0013251	polyadenylate binding protein 1
OG0005645	e3 ubiquitin protein ligase midline
OG0008305	dna mismatch repair protein
OG0013932	retinoic acid receptor alpha
OG0001930	signal peptidase complex subunit
OG0014970	olfactory receptor protein
OG0015270	keratin high sulfur matrix protein
OG0007889	nucleoredoxin protein
OG0003766	kunitz type serine protease inhibitor textilinin
OG0011845	voltage gated potassium channel kcnh
OG0014553	splicing regulatory glutamine lysine rich protein
OG0007484	ras protein rap 1b
OG0009098	leucine rich repeat and death domain containing protein
OG0007626	5 3 deoxyribonucleotidase
OG0011341	short transient receptor potential channel
OG0008568	wd repeat containing protein
OG0010737	e3 ubiquitin protein ligase rnf
OG0007237	gonadotropin subunit beta
OG0002900	polyamine aminopropyltransferase
OG0009742	small ribosomal subunit protein ms
OG0002463	sodium and chloride dependent gaba transporter
OG0001247	small integral membrane protein
