Annotee-Identifier	Human-Readable-Description
OG0007792	cytochrome c oxidase assembly protein ctag
OG0010100	ras guanyl releasing protein 2
OG0011883	zinc finger protein
OG0010840	rcc and btb domain containing protein
OG0004117	islet amyloid polypeptide
OG0009083	tropomodulin
OG0013973	trna selenocysteine 1 associated protein
OG0012845	t box transcription factor
OG0001559	e3 ubiquitin protein ligase cbl
OG0009877	atp binding cassette sub family a member
OG0012217	coiled coil domain containing protein
OG0001553	myotubularin protein 10
OG0012672	wd repeat and containing protein
OG0006531	proline serine rich coiled coil protein
OG0000584	olfactory receptor
OG0006869	guanine nucleotide binding protein subunit beta
OG0012268	ep interacting inhibitor of differentiation
OG0013503	short transient receptor potential channel
OG0009406	transmembrane protein
OG0003798	calcium binding protein
OG0003062	myocyte specific enhancer factor 2a
OG0009179	myod family inhibitor protein
OG0009944	secretin
OG0005970	complement component c8 beta chain
OG0005691	transmembrane anterior posterior transformation protein
OG0007551	spermatogenesis and oogenesis specific basic helix loop containing protein
OG0015186	cystatin
OG0000114	metabotropic glutamate receptor
OG0000566	orm protein
OG0005090	neuropilin
OG0005015	nuclear factor interleukin regulated protein
OG0009095	claudin
OG0009386	iswi chromatin remodeling complex atpase isw
OG0012264	proton coupled zinc antiporter slc30a8
OG0006339	prostamide prostaglandin f synthase
OG0002519	apoptosis regulator bax
OG0009534	mitochondrial proton calcium exchanger protein
OG0006789	glycine rich extracellular protein
OG0006305	cxxc motif containing zinc binding protein
OG0009646	plant ubx domain containing protein
OG0004969	cytochrome c oxidase subunit 1
OG0009029	centromere protein c
OG0009539	rab family interacting protein
OG0010337	lhfpl tetraspan subfamily member protein
OG0000783	sialic acid binding ig lectin
OG0010142	stabilizer of axonemal microtubules
OG0015078	speckle type poz protein
OG0002736	junctophilin
OG0010038	protein tesmin tso cxc
OG0001071	trace amine associated receptor
OG0013952	secretory carrier associated membrane protein
OG0015081	high mobility group protein hmg i y
OG0001399	olfactory receptor
OG0002110	2 5 oligoadenylate synthase protein
OG0012946	gtp cyclohydrolase type
OG0001051	olfactory receptor
OG0015363	serine protease
OG0005912	u7 snrna associated sm protein lsm
OG0009282	leucine rich repeat containing protein
OG0015241	phosphatidylcholine ceramide cholinephosphotransferase
OG0014741	adhesion g protein coupled receptor
OG0011890	histone h1 1
OG0001397	olfactory receptor protein
OG0002471	succinate dehydrogenase cytochrome b560 subunit mitochondrial
OG0001707	serine threonine protein kinase mrck
OG0006816	intraflagellar transport protein
OG0011442	dynein assembly factor with wd repeat domains
OG0001561	transmembrane protease serine
OG0002485	chymotrypsin elastase family member 2a
OG0009469	ly plaur domain containing protein
OG0014411	vigilin
OG0011399	unknown sequence family
OG0011559	e3 ubiquitin protein ligase trip
OG0013603	transmembrane protein
OG0000725	translationally controlled tumor protein
OG0004760	maestro protein member
OG0011599	transmembrane protein
OG0010922	ninein protein
OG0012903	pleckstrin homology domain containing family a member
OG0009799	v set domain containing t cell activation inhibitor
OG0008527	trna adenine 37 n6 methyltransferase
OG0013667	y+l amino acid transporter
OG0011379	gap junction beta protein
OG0006949	interleukin
OG0001208	adp ribosylation factor protein
OG0005794	transcription factor a mitochondrial
OG0006409	malonyl coa decarboxylase mitochondrial
OG0004235	mucosal addressin cell adhesion molecule
OG0006371	ribosome quality control complex subunit
OG0005118	periaxin
OG0003966	mas g protein coupled receptor member x2
OG0012978	bifunctional purine biosynthesis protein
OG0013704	unknown sequence family
OG0013854	proteinase activated receptor
OG0000106	peptidyl prolyl cis trans isomerase a
OG0001211	3 5 ssdna rna exonuclease tatd
OG0015432	prame family member
OG0011244	spermatogenesis associated protein
OG0013472	growth hormone secretagogue receptor type
OG0011869	integrin beta
OG0005699	phosphatidylinositol 3 kinase regulatory subunit alpha
OG0001994	centrosomal protein of kda
OG0007425	palmitoyltransferase zdhhc
OG0014456	zinc finger protein
OG0000627	mitogen activated protein kinase
OG0015189	kallikrein peptidase
OG0005334	methylcrotonoyl coa carboxylase beta chain mitochondrial
OG0013622	uroplakin 3b protein
OG0012690	complement c1q and tumor necrosis factor protein
OG0009544	ring finger protein
OG0008878	c x motif chemokine
OG0000715	coiled coil domain containing protein
OG0014004	mastermind domain containing protein
OG0002429	zinc finger protein
OG0002103	signal recognition particle kda protein
OG0004907	selenocysteine insertion sequence binding protein
OG0009196	doublesex and mab transcription factor 3
OG0012509	gtpase imap family member gimd
OG0009591	spermatogenesis associated protein
